node_Degree,node_Accessibility,node_ID
1,0.09085604548454285,1
1,0.10248138755559921,2
1,0.09354119002819061,3
3,0.09767726808786392,4
3,0.09794119000434875,5
1,0.09744641184806824,6
3,0.10181145370006561,7
3,0.09775519371032715,8
1,0.10947597771883011,9
1,0.10577549785375595,10
2,0.10138120502233505,11
3,0.10627555847167969,12
1,0.102601557970047,13
3,0.10757306963205338,14
3,0.11709485203027725,15
3,0.10784254223108292,16
1,0.11484646052122116,17
3,0.11112965643405914,18
3,0.11383341997861862,19
3,0.1129133552312851,20
1,0.12202306091785431,21
3,0.11246004700660706,22
3,0.11907780170440674,23
1,0.13572515547275543,24
1,0.10984548926353455,25
3,0.11893275380134583,26
3,0.11940660327672958,27
3,0.11582540720701218,28
3,0.12228616327047348,29
3,0.14266817271709442,30
3,0.1329687088727951,31
3,0.13027536869049072,32
3,0.11824461817741394,33
3,0.11913014203310013,34
1,0.1059897169470787,35
3,0.11821497231721878,36
3,0.13143566250801086,37
3,0.13017113506793976,38
3,0.11920350044965744,39
3,0.14331409335136414,40
3,0.11959563195705414,41
3,0.1251366287469864,42
3,0.13896650075912476,43
2,0.10437195748090744,44
1,0.08982153981924057,45
3,0.12512528896331787,46
3,0.14227184653282166,47
3,0.12110358476638794,48
3,0.1287098228931427,49
2,0.10719989985227585,50
1,0.12301979959011078,51
3,0.1086651086807251,52
2,0.14317746460437775,53
3,0.12128620594739914,54
3,0.12151281535625458,55
3,0.14854773879051208,56
3,0.14938883483409882,57
1,0.09491854906082153,58
1,0.13261725008487701,59
3,0.14108571410179138,60
3,0.11232971400022507,61
3,0.11295153945684433,62
3,0.1566218137741089,63
3,0.15189166367053986,64
1,0.1395721137523651,65
3,0.13219206035137177,66
3,0.11447221040725708,67
3,0.1404079645872116,68
3,0.13781291246414185,69
2,0.1374904364347458,70
3,0.13915258646011353,71
1,0.04277212917804718,72
3,0.14048293232917786,73
3,0.16442996263504028,74
3,0.13689179718494415,75
3,0.13147957623004913,76
3,0.1408708691596985,77
3,0.14291951060295105,78
3,0.1428808569908142,79
1,0.08141907304525375,80
3,0.13942301273345947,81
3,0.1413809210062027,82
3,0.15467014908790588,83
1,0.13545659184455872,84
3,0.13668856024742126,85
3,0.14780044555664062,86
3,0.1542324721813202,87
3,0.14724786579608917,88
3,0.14836961030960083,89
3,0.15595664083957672,90
3,0.17201092839241028,91
3,0.16697628796100616,92
3,0.13844259083271027,93
1,0.11871451884508133,94
3,0.15868380665779114,95
3,0.1599966287612915,96
3,0.13892528414726257,97
3,0.16378392279148102,98
3,0.1548158824443817,99
3,0.16118623316287994,100
3,0.1626429259777069,101
3,0.1758521944284439,102
3,0.14182758331298828,103
3,0.14250053465366364,104
3,0.15400072932243347,105
3,0.1488845944404602,106
3,0.1671091765165329,107
3,0.1741802990436554,108
1,0.1487179845571518,109
3,0.14454154670238495,110
3,0.18514612317085266,111
3,0.14619393646717072,112
3,0.16145044565200806,113
3,0.15294453501701355,114
3,0.1684238463640213,115
3,0.1743655651807785,116
3,0.17050385475158691,117
3,0.14978782832622528,118
1,0.13421235978603363,119
4,0.1479804664850235,120
3,0.16100382804870605,121
3,0.1653255671262741,122
3,0.17143653333187103,123
3,0.1631324142217636,124
3,0.1858273148536682,125
3,0.16673889756202698,126
4,0.15862925350666046,127
3,0.15359129011631012,128
2,0.1725558489561081,129
3,0.163264200091362,130
3,0.1468833088874817,131
3,0.17820963263511658,132
3,0.1471622884273529,133
1,0.12019328773021698,134
3,0.1486850380897522,135
2,0.1390177607536316,136
3,0.1958196610212326,137
3,0.17508044838905334,138
3,0.194928839802742,139
3,0.1551486700773239,140
3,0.1850234866142273,141
3,0.2027900367975235,142
3,0.17995645105838776,143
3,0.1843060702085495,144
3,0.13420410454273224,145
3,0.1770714819431305,146
3,0.1895139217376709,147
2,0.04935446009039879,148
3,0.059062764048576355,149
3,0.15557146072387695,150
3,0.178187757730484,151
3,0.15690234303474426,152
3,0.1945948451757431,153
3,0.1942749321460724,154
3,0.1888483166694641,155
3,0.15974558889865875,156
3,0.19549280405044556,157
3,0.19690357148647308,158
3,0.19101618230342865,159
3,0.2117338329553604,160
3,0.20095668733119965,161
1,0.1382119059562683,162
3,0.19331856071949005,163
3,0.19522276520729065,164
3,0.14536739885807037,165
3,0.19886988401412964,166
3,0.16260375082492828,167
3,0.19515903294086456,168
1,0.1405571550130844,169
3,0.17354631423950195,170
3,0.22130979597568512,171
3,0.20198370516300201,172
3,0.17086371779441833,173
3,0.1977350115776062,174
3,0.19845269620418549,175
3,0.22366471588611603,176
3,0.1321106255054474,177
1,0.1751289963722229,178
