EndNodes_1,EndNodes_2,name,edge_id,Weight,Length,Width,Volume,Type,Distance
1,15,745A6261,1,1.3322664499282837,325.3657531738281,31.366371154785156,251414.46875,E,1848.210205078125
2,6,745A6261,2,0.8649121522903442,217.83590698242188,31.773046493530273,172717.78125,E,1911.0245361328125
3,11,745A6261,3,6.105141639709473,184.58460998535156,23.63140106201172,80958.84375,E,1827.3590087890625
4,6,745A6261,4,0.1819610446691513,58.021331787109375,30.265804290771484,41742.84375,E,1819.343994140625
5,16,745A6261,5,0.7465558052062988,186.21087646484375,31.614604949951172,146174.109375,E,1737.72509765625
6,18,745A6261,6,0.5539177060127258,135.33660888671875,31.303834915161133,104159.828125,E,1747.9600830078125
7,10,745A6261,7,0.09432406723499298,22.883283615112305,31.14466094970703,17433.1328125,E,1766.9857177734375
8,23,745A6261,8,8.933067321777344,218.38851928710938,29.289878845214844,147148.15625,E,1691.6414794921875
9,18,745A6261,9,10.708687782287598,177.80593872070312,27.007234573364258,101858.296875,E,1741.864501953125
10,12,745A6261,10,0.2933497428894043,32.80656433105469,18.13129425048828,8470.484375,E,1749.8502197265625
10,14,745A6261,11,0.1871158927679062,39.064205169677734,29.04201889038086,25877.5078125,E,1739.5333251953125
11,12,745A6261,12,0.07654105126857758,26.993640899658203,11.638587951660156,2871.78515625,E,1744.639404296875
11,13,745A6261,13,0.09161459654569626,19.846567153930664,29.405040740966797,13477.794921875,E,1735.7646484375
12,14,745A6261,14,0.14171257615089417,34.95384979248047,23.131969451904297,14689.60546875,E,1730.9970703125
13,15,745A6261,15,0.7745025157928467,165.0301513671875,27.09316062927246,95142.0546875,E,1733.995361328125
13,24,745A6261,16,0.6987508535385132,174.21661376953125,31.59813690185547,136616.265625,E,1649.984375
14,22,745A6261,17,0.5718362331390381,139.4469757080078,31.25501823425293,106988.84375,E,1662.4761962890625
15,16,745A6261,18,0.01057800929993391,3.6656415462493896,31.307292938232422,2821.83056640625,E,1696.468994140625
16,40,745A6261,19,1.3274298906326294,324.7684020996094,31.33893585205078,250514.078125,E,1561.003173828125
17,25,745A6261,20,3.4341936111450195,207.31529235839844,26.083335876464844,110776.453125,E,1635.638671875
18,25,745A6261,21,0.6033045053482056,144.18626403808594,31.009672164916992,108895.046875,E,1620.6226806640625
19,52,745A6261,22,1.3928017616271973,318.6949768066406,31.034639358520508,241078.515625,E,1586.942626953125
20,23,745A6261,23,8.642065048217773,100.5669937133789,22.967327117919922,41664.5078125,E,1627.1976318359375
21,34,745A6261,24,0.6183596849441528,143.92575073242188,31.05512046813965,109017.1484375,E,1548.899169921875
22,26,745A6261,25,0.4268670976161957,81.79405212402344,28.471342086791992,52074.78515625,E,1569.4910888671875
22,27,745A6261,26,1.0840805768966675,128.18955993652344,21.33962631225586,45847.55078125,E,1587.813720703125
23,42,745A6261,27,0.6494038105010986,161.07240295410156,31.64083480834961,126650.5,E,1518.8992919921875
24,28,745A6261,28,0.6279617547988892,104.41683197021484,22.784650802612305,42574.06640625,E,1552.3951416015625
24,33,745A6261,29,0.3841274082660675,79.2020492553711,28.838401794433594,51733.12109375,E,1539.40478515625
25,32,745A6261,30,0.1118973046541214,25.03056526184082,29.990400314331055,17681.7421875,E,1545.286376953125
26,27,745A6261,31,0.11806298792362213,38.435279846191406,19.434917449951172,11402.111328125,E,1539.279541015625
26,28,745A6261,32,0.03104783222079277,7.331283092498779,30.731294631958008,5437.904296875,E,1533.768798828125
27,32,745A6261,33,0.13603001832962036,28.69620704650879,22.46400260925293,11373.3564453125,E,1538.123291015625
28,41,745A6261,34,0.4847104549407959,98.4197006225586,28.659685134887695,63491.3828125,E,1490.6563720703125
29,57,745A6261,35,0.5470055937767029,140.78114318847656,32.0915412902832,113871.6328125,E,1562.13330078125
30,64,745A6261,36,0.7544966340065002,198.1735382080078,32.41466522216797,163537.984375,E,1811.33056640625
31,34,745A6261,37,0.43210819363594055,93.68041229248047,30.201499938964844,67111.3046875,E,1499.72314453125
32,49,745A6261,38,0.480977863073349,111.19549560546875,30.448503494262695,80967.1796875,E,1482.26806640625
33,40,745A6261,39,0.6069225072860718,86.97806549072266,21.008996963500977,30151.59375,E,1472.83984375
33,48,745A6261,40,1.032483458518982,187.10031127929688,28.06049156188965,115705.75,E,1439.0576171875
34,40,745A6261,41,2.135242462158203,412.5596618652344,28.736736297607422,267578.6875,E,1409.2978515625
35,47,745A6261,42,1.2102198600769043,103.78791809082031,26.665651321411133,57961.6953125,E,1667.4735107421875
36,51,745A6261,43,0.6040794253349304,110.22976684570312,27.548532485961914,65703.078125,E,1439.8607177734375
37,38,745A6261,44,0.05472709983587265,12.51528263092041,30.246103286743164,8992.271484375,E,1507.783203125
38,42,745A6261,45,1.049008846282959,187.2845001220703,27.319072723388672,109780.09375,E,1481.912353515625
38,44,745A6261,46,0.277299702167511,64.72368621826172,30.495088577270508,47272.97265625,E,1475.80615234375
39,98,745A6261,47,0.9415582418441772,246.71630859375,32.41680145263672,203623.578125,E,1461.25146484375
41,46,745A6261,48,0.13542328774929047,27.622568130493164,21.213743209838867,9763.1181640625,E,1437.7724609375
41,48,745A6261,49,0.11014896631240845,37.54584884643555,18.941932678222656,10580.359375,E,1436.2020263671875
42,58,745A6261,50,0.30672594904899597,79.83097076416016,32.27997589111328,65332.26171875,E,1408.0958251953125
43,78,745A6261,51,0.7721690535545349,201.8707733154297,32.379581451416016,166228.609375,E,1686.7333984375
44,63,745A6261,52,0.42683303356170654,90.38318634033203,29.31065559387207,60985.77734375,E,1407.2745361328125
44,66,745A6261,53,0.46295928955078125,91.53312683105469,27.308006286621094,53610.29296875,E,1412.533447265625
45,53,745A6261,54,0.11917300522327423,16.180925369262695,23.985319137573242,7311.12548828125,E,1495.3209228515625
45,54,745A6261,55,0.3701808750629425,91.53313446044922,31.489643096923828,71285.90625,E,1477.236572265625
45,56,745A6261,56,0.5751882791519165,67.3156967163086,19.869741439819336,20873.27734375,E,1500.6412353515625
46,48,745A6261,57,0.06418037414550781,11.441641807556152,26.59493637084961,6355.88671875,E,1422.9189453125
46,49,745A6261,58,0.21570226550102234,37.36164093017578,26.94053840637207,21297.48828125,E,1426.712646484375
47,55,745A6261,59,0.32408449053764343,77.49948120117188,31.19185447692871,59220.359375,E,1627.833740234375
47,67,745A6261,60,0.588563859462738,153.58851623535156,32.41632843017578,126758.2578125,E,1553.9429931640625
49,61,745A6261,61,0.22468392550945282,62.392208099365234,24.85348892211914,30268.783203125,E,1401.145263671875
50,64,745A6261,62,0.38801464438438416,98.78811645507812,29.014310836791992,65315.9296875,E,1798.119384765625
51,58,745A6261,63,0.2899436354637146,79.83097076416016,29.815502166748047,55737.25390625,E,1386.8985595703125
51,59,745A6261,64,0.5158379673957825,136.41026306152344,32.5352783203125,113408.6015625,E,1375.8243408203125
52,54,745A6261,65,0.3528520166873932,88.49641418457031,28.714073181152344,57306.66796875,E,1445.7723388671875
52,61,745A6261,66,0.43179216980934143,101.8248291015625,29.084856033325195,67651.4921875,E,1406.2452392578125
53,56,745A6261,67,0.25176748633384705,17.254566192626953,15.059012413024902,3073.172119140625,E,1486.4097900390625
54,82,745A6261,68,0.5939080715179443,142.4836883544922,31.153825759887695,108612.0,E,1399.67626953125
56,82,745A6261,69,0.6527268290519714,157.0699462890625,29.542329788208008,107664.484375,E,1409.1158447265625
57,67,745A6261,70,0.750435471534729,196.3946533203125,29.866085052490234,137586.59375,E,1520.84912109375
57,87,745A6261,71,0.5879178643226624,158.5883026123047,32.83518981933594,134288.890625,E,1423.9622802734375
58,73,745A6261,72,0.3419190049171448,86.53333282470703,31.841466903686523,68906.3828125,E,1335.5936279296875
59,60,745A6261,73,0.2676968574523926,69.09455871582031,32.14783477783203,56083.765625,E,1354.2899169921875
59,80,745A6261,74,0.46897342801094055,133.29725646972656,31.819589614868164,105998.625,E,1311.0208740234375
60,76,745A6261,75,0.8793647885322571,144.37046813964844,24.723875045776367,69310.8671875,E,1332.0048828125
60,79,745A6261,76,0.3769413232803345,85.72020721435547,30.479509353637695,62544.484375,E,1306.5693359375
61,74,745A6261,77,0.33976614475250244,65.61312866210938,27.99713706970215,40393.1640625,E,1343.5302734375
62,108,745A6261,78,0.7616146802902222,191.02647399902344,31.870975494384766,152396.203125,E,1477.4287109375
63,68,745A6261,79,0.1735008955001831,31.2882080078125,27.039966583251953,17967.30078125,E,1354.068115234375
63,73,745A6261,80,3.458441734313965,162.25396728515625,15.458284378051758,30451.4375,E,1333.21337890625
64,109,745A6261,81,0.7103867530822754,182.6215362548828,32.123329162597656,148007.25,E,1677.0469970703125
65,91,745A6261,82,0.4603201150894165,108.97191619873047,30.795108795166016,81164.84375,E,1329.27392578125
66,69,745A6261,83,0.12035985291004181,21.36492347717285,26.740798950195312,11998.8603515625,E,1364.8662109375
66,71,745A6261,84,0.5235840082168579,54.80040740966797,16.247268676757812,11361.4658203125,E,1358.1112060546875
67,113,745A6261,85,0.721917986869812,190.13702392578125,32.49370574951172,157672.1875,E,1399.6827392578125
68,71,745A6261,86,0.3970961272716522,35.39856719970703,16.3674373626709,7447.95361328125,E,1336.5218505859375
68,88,745A6261,87,0.5220037698745728,109.34033203125,29.15301513671875,72985.609375,E,1295.4556884765625
69,75,745A6261,88,0.1259503960609436,28.69620704650879,30.146484375,20482.724609375,E,1347.5924072265625
69,77,745A6261,89,0.15607810020446777,43.358768463134766,19.747989654541016,13280.443359375,E,1339.0390625
70,91,745A6261,90,0.39429283142089844,76.61004638671875,25.091337203979492,37881.15625,E,1327.9066162109375
71,117,745A6261,91,1.4561243057250977,221.34890747070312,25.94887351989746,117058.8671875,E,1239.697021484375
72,146,745A6261,92,1.3278480768203735,326.91571044921875,31.429462432861328,253629.390625,E,1482.632080078125
73,102,745A6261,93,0.5185850262641907,113.2664794921875,29.76677703857422,78823.359375,E,1249.817626953125
74,81,745A6261,94,0.3944145739078522,53.54256057739258,21.18324851989746,18870.09765625,E,1302.1962890625
74,85,745A6261,95,0.19476497173309326,35.398563385009766,21.79990577697754,13212.4921875,E,1298.4432373046875
75,77,745A6261,96,0.19780373573303223,33.88020706176758,21.035858154296875,11774.876953125,E,1327.1405029296875
75,118,745A6261,97,0.7253365516662598,169.66152954101562,30.722219467163086,125770.3984375,E,1269.3663330078125
76,84,745A6261,98,0.4758891761302948,112.89805603027344,30.932727813720703,84842.375,E,1276.8145751953125
76,92,745A6261,99,0.44140946865081787,69.01825714111328,22.761764526367188,28084.435546875,E,1277.2152099609375
77,143,745A6261,100,1.4199321269989014,287.775146484375,28.91119384765625,188918.8125,E,1197.62353515625
78,100,745A6261,101,0.5582646131515503,157.5146942138672,32.06986618041992,127234.609375,E,1607.711181640625
78,108,745A6261,102,0.8204502463340759,224.8303680419922,33.15021514892578,194051.75,E,1503.5521240234375
79,84,745A6261,103,0.04624338448047638,10.99692440032959,30.829551696777344,8209.099609375,E,1262.881103515625
79,90,745A6261,104,0.12660270929336548,41.21148681640625,29.638248443603516,28432.380859375,E,1253.8582763671875
81,85,745A6261,105,0.15615078806877136,20.291284561157227,22.781646728515625,8271.2216796875,E,1282.8280029296875
81,92,745A6261,106,0.14617492258548737,32.361846923828125,17.274917602539062,7584.99267578125,E,1269.453125
82,111,745A6261,107,0.46899667382240295,110.12185668945312,30.791616439819336,82002.75,E,1291.380859375
83,109,745A6261,108,0.7605606317520142,185.32142639160156,30.41632080078125,134656.984375,E,1687.93896484375
84,95,745A6261,109,0.08371379971504211,32.17763900756836,30.24508285522461,23118.177734375,E,1243.676025390625
85,89,745A6261,110,0.12856096029281616,16.625642776489258,22.917055130004883,6857.81787109375,E,1274.319091796875
86,98,745A6261,111,0.4928320050239563,116.11897277832031,29.257720947265625,78068.1796875,E,1388.2618408203125
87,113,745A6261,112,0.5502567291259766,161.54872131347656,30.901241302490234,121156.0859375,E,1329.6575927734375
87,120,745A6261,113,0.5786711573600769,149.92288208007812,32.211509704589844,122174.3203125,E,1281.8037109375
88,117,745A6261,114,1.605629563331604,118.71099090576172,21.694101333618164,43879.75,E,1205.2269287109375
88,128,745A6261,115,1.0754876136779785,182.9899444580078,25.149784088134766,90904.5546875,E,1179.1007080078125
89,94,745A6261,116,0.07500365376472473,30.214563369750977,18.45233154296875,8079.9501953125,E,1259.861083984375
89,99,745A6261,117,0.2514868378639221,34.32492446899414,23.40228271484375,14764.4033203125,E,1251.3321533203125
90,93,745A6261,118,0.16122952103614807,39.5089225769043,31.357439041137695,30511.689453125,E,1235.571533203125
90,95,745A6261,119,0.0134740537032485,36.472206115722656,27.739482879638672,22041.87890625,E,1234.0355224609375
91,173,745A6261,120,1.3116050958633423,277.1913757324219,28.81485939025879,180760.109375,E,1178.43994140625
92,94,745A6261,121,0.05032248795032501,7.331283092498779,24.131011962890625,3352.902587890625,E,1253.3115234375
93,102,745A6261,122,0.6894432902336121,124.52391815185547,24.08654022216797,56740.28515625,E,1222.6650390625
93,103,745A6261,123,0.31458622217178345,43.358768463134766,25.45097541809082,22058.484375,E,1214.41552734375
94,96,745A6261,124,0.0644240528345108,9.923283576965332,24.766307830810547,4780.43896484375,E,1247.160888671875
95,115,745A6261,125,0.3807414472103119,90.0147705078125,30.786352157592773,67006.9921875,E,1188.8037109375
96,99,745A6261,126,0.05429635941982269,28.69620704650879,21.44753074645996,10367.37890625,E,1238.86279296875
96,127,745A6261,127,0.6866824626922607,148.03610229492188,29.46851921081543,100965.765625,E,1177.9952392578125
97,111,745A6261,128,1.5034998655319214,80.98091888427734,13.9866361618042,12442.255859375,E,1252.1204833984375
98,132,745A6261,129,0.6931019425392151,169.14051818847656,31.304994583129883,130186.15625,E,1271.1904296875
99,169,745A6261,130,0.9907160997390747,231.68536376953125,30.713674545288086,171653.265625,E,1129.064453125
101,123,745A6261,131,0.501217782497406,105.5667953491211,29.524194717407227,72272.546875,E,1351.3759765625
102,116,745A6261,132,0.3216032087802887,70.98133087158203,26.110870361328125,38008.14453125,E,1172.75341796875
103,106,745A6261,133,0.04590223357081413,18.328208923339844,25.188140869140625,9132.76171875,E,1191.1173095703125
103,116,745A6261,134,0.3625778257846832,82.60717010498047,30.32416343688965,59660.28125,E,1172.30224609375
104,123,745A6261,135,0.5507039427757263,121.04247283935547,29.89622688293457,84968.984375,E,1363.6114501953125
105,149,745A6261,136,1.7783820629119873,481.10162353515625,32.99026870727539,411242.875,E,1489.7862548828125
106,110,745A6261,137,0.31111085414886475,60.42912292480469,28.370182037353516,38199.7421875,E,1178.0008544921875
106,133,745A6261,138,0.7696328163146973,116.56371307373047,24.377288818359375,54403.1484375,E,1132.7255859375
107,137,745A6261,139,1.6999738216400146,119.78463745117188,22.008514404296875,45569.30859375,E,1482.1636962890625
108,153,745A6261,140,0.6625291109085083,196.50257873535156,31.7092227935791,155177.703125,E,1310.135498046875
109,125,745A6261,141,0.2891528904438019,76.61004638671875,32.55207824707031,63757.76171875,E,1573.7227783203125
110,115,745A6261,142,0.16028697788715363,51.57948684692383,29.36676025390625,34936.46875,E,1153.5452880859375
110,133,745A6261,143,0.5325303077697754,100.12226104736328,26.086837768554688,53513.5078125,E,1122.8634033203125
111,152,745A6261,144,0.8454651236534119,131.93148803710938,25.60053825378418,67910.4375,E,1181.475341796875
112,134,745A6261,145,5.165585041046143,116.74791717529297,20.597389221191406,38901.234375,E,1670.169677734375
113,155,745A6261,146,0.49631360173225403,140.96533203125,31.425485610961914,109336.7578125,E,1252.6507568359375
114,140,745A6261,147,0.4228498339653015,94.30934143066406,29.898212432861328,66211.7421875,E,1266.70361328125
115,150,745A6261,148,0.4841212034225464,118.08206176757812,31.290355682373047,90801.875,E,1097.3546142578125
116,119,745A6261,149,0.018954232335090637,5.184000015258789,33.05562973022461,4448.82958984375,E,1140.3681640625
