EndNodes_1,EndNodes_2,name,edge_id,Weight,Length,Width,Volume,Type,Distance
1,15,745A6250,1,2.089167594909668,465.9180603027344,31.106658935546875,354083.875,E,1621.5032958984375
2,5,745A6250,2,0.7322334051132202,177.43753051757812,31.166627883911133,135367.6875,E,1769.3587646484375
3,11,745A6250,3,0.9873397946357727,235.53515625,31.053661346435547,178390.3125,E,1612.39404296875
4,5,745A6250,4,0.3463035225868225,80.27569580078125,27.998441696166992,49424.4296875,E,1708.0335693359375
5,9,745A6250,5,0.619355320930481,146.3335418701172,30.879562377929688,109591.2890625,E,1621.9564208984375
6,9,745A6250,6,2.2382760047912598,146.88621520996094,25.703330993652344,76216.625,E,1612.223388671875
7,14,745A6250,7,0.5549341440200806,145.07568359375,32.360511779785156,119320.5625,E,1508.6922607421875
8,23,745A6250,8,0.8610340356826782,214.0176544189453,31.5806827545166,167641.875,E,1535.2474365234375
9,12,745A6250,9,0.1514715552330017,34.95384979248047,30.419578552246094,25403.3671875,E,1542.5811767578125
10,15,745A6250,10,3.321930170059204,472.099365234375,27.488208770751953,280166.46875,E,1420.044189453125
11,15,745A6250,11,0.789172887802124,89.57006072998047,19.929292678833008,27940.6484375,E,1472.0281982421875
11,20,745A6250,12,1.0605900287628174,180.84266662597656,27.54770851135254,107785.8515625,E,1441.02001953125
12,16,745A6250,13,3.414818286895752,340.5809326171875,25.32568359375,171566.53125,E,1550.0357666015625
12,21,745A6250,14,0.4661248028278351,107.08514404296875,30.350248336791992,77471.796875,E,1478.345703125
13,14,745A6250,15,0.27908802032470703,84.83076477050781,31.33440399169922,65416.32421875,E,1452.974609375
14,33,745A6250,16,0.6175737380981445,162.0697479248047,32.43256378173828,133891.921875,E,1368.97705078125
16,18,745A6250,17,0.1370922327041626,26.54892349243164,21.06804847717285,9255.19140625,E,1436.2994384765625
16,20,745A6250,18,0.11735303699970245,33.88020706176758,18.525177001953125,9131.890625,E,1433.8746337890625
17,50,745A6250,19,0.7833597660064697,203.91015625,32.22827911376953,166342.40625,E,1437.57958984375
18,20,745A6250,20,0.07897544652223587,14.033641815185547,26.546823501586914,7767.57373046875,E,1421.3828125
18,21,745A6250,21,0.13404598832130432,34.7696418762207,24.382587432861328,16234.9013671875,E,1425.376708984375
19,23,745A6250,22,0.6924747824668884,166.8853302001953,31.38115882873535,129076.1484375,E,1459.326416015625
21,28,745A6250,23,0.2855148911476135,63.46584701538086,25.668874740600586,32843.0625,E,1399.8167724609375
22,27,745A6250,24,0.8215964436531067,210.6888427734375,32.077613830566406,170268.96875,E,1367.070068359375
23,28,745A6250,25,0.3857628107070923,100.75119018554688,30.084518432617188,71618.6640625,E,1406.4066162109375
24,30,745A6250,26,0.5082809329032898,131.14999389648438,32.263282775878906,107219.8671875,E,1543.01806640625
25,30,745A6250,27,0.27594536542892456,75.53640747070312,29.325660705566406,51020.16015625,E,1505.840576171875
26,62,745A6250,28,0.8975290060043335,229.90643310546875,32.048187255859375,185459.015625,E,1698.20849609375
27,38,745A6250,29,0.48648199439048767,65.42892456054688,27.759401321411133,39598.6015625,E,1315.98486328125
27,39,745A6250,30,0.9105486273765564,143.92575073242188,24.23991584777832,66418.7421875,E,1330.790771484375
28,37,745A6250,31,0.3471897840499878,65.61312866210938,27.70987319946289,39568.51171875,E,1342.3304443359375
29,33,745A6250,32,1.001125693321228,91.27261352539062,18.818260192871094,25385.7109375,E,1309.4964599609375
30,64,745A6250,33,0.7183068990707397,187.98974609375,32.382530212402344,154826.625,E,1396.9261474609375
