node_X_pix,node_Y_pix
1911,1501
1920,1479
1928,1346
1939,1396
1951,1356
1962,1371
1963,1373
1966,1377
1969,1336
1970,1374
1971,1362
1972,1364
1972,1415
1972,1418
1973,1366
1974,1386
1977,1372
1977,1389
1979,1375
1980,1462
1981,1256
1982,1227
1983,1406
1984,1383
1985,1267
1987,1259
1990,1244
1990,1409
1991,1490
1994,1399
1995,1493
1998,1232
2004,1414
2009,1422
2020,1440
2021,1460
2025,1473
2029,1454
2039,1778
2042,1502
2046,1480
2049,1485
2059,1519
2063,1506
2067,1199
2068,1206
2075,1526
2079,1643
2102,1567
2103,1173
2108,1583
2110,1580
2113,1683
2116,1601
2119,1594
2120,1187
2122,1605
2124,1602
2125,1616
2126,1619
2127,1621
2130,1611
2130,1626
2132,1614
2133,1616
2135,1620
2138,1650
2141,1634
2143,1631
2151,1660
2156,1710
2157,1654
2160,1675
2162,1678
2164,1665
2167,1689
2169,1672
2172,1686
2172,1707
2174,1680
2174,1699
2175,1161
2175,1698
2176,1683
2178,1165
2179,1688
2182,1717
2184,1695
2189,1158
2189,1161
2194,1709
2196,1731
2204,1723
2208,1742
2211,1732
2218,1742
2250,1138
2259,1122
2270,1103
2296,1776
2296,1777
2297,1095
2299,1088
2308,1117
2322,1096
2326,1110
2337,1761
2341,1768
2388,1083
2390,1086
2401,1080
2403,1082
2409,1059
2413,1078
2445,1720
2454,1717
2531,1174
2533,1167
2537,1686
2549,1705
2553,1207
2556,1187
2558,1678
2569,1231
2571,1673
2571,1699
2572,1225
2579,1247
2579,1681
2590,1243
2607,1660
2608,1290
2615,1678
2637,1334
2639,1304
2645,1319
2687,1410
2692,1628
2698,1633
2705,1400
2715,1454
2719,1444
2741,1492
2743,1490
2745,1608
2747,1618
2750,1606
2750,1613
2758,1581
2767,1531
2770,1528
2774,1577
2331,1402
