node_X_pix,node_Y_pix
1868,1498
1869,1487
1869,1493
1921,1380
1922,1356
1925,1249
1946,1170
1949,1351
1951,1343
1955,1359
1961,1368
1962,1544
1963,1426
1965,1354
1966,1349
1967,1372
1969,1360
1971,1362
1972,1325
1974,1410
1974,1412
1974,1498
1977,1453
1978,1406
1978,1455
1978,1788
1979,1243
1979,1451
1980,1463
1983,1458
1985,1443
1986,1263
1988,1254
1991,1451
1992,1224
1992,1240
1992,1409
1992,1487
1997,1489
1998,1405
2000,1497
2004,1230
2010,1424
2011,1504
2016,1451
2020,1440
2022,1514
2024,1459
2025,1470
2027,1596
2029,1454
2029,1765
2037,1478
2037,1747
2040,1471
2041,1187
2043,1758
2045,1200
2048,1213
2048,1492
2054,1494
2055,1494
2056,1562
2056,1750
2057,1750
2066,1666
2066,1739
2075,1203
2077,1528
2078,1745
2084,1540
2098,1603
2100,1565
2108,1577
2112,1583
2121,1153
2121,1680
2123,1644
2124,1185
2126,1670
2131,1670
2135,1144
2136,1686
2139,1646
2143,1631
2145,1653
2146,1653
2149,1096
2150,1643
2152,1655
2156,1651
2157,1173
2157,1707
2158,1670
2161,1668
2162,1149
2163,1663
2164,1680
2165,1666
2168,1671
2170,1139
2171,1142
2173,1162
2173,1704
2176,1166
2183,1714
2192,1706
2193,1121
2193,1160
2193,1726
2201,1719
2214,1737
2280,1103
2295,1776
2296,1792
2301,1119
2310,1026
2328,1109
2337,1761
2344,1758
2347,1764
2349,1756
2411,1078
2412,1053
2531,1174
2533,1687
2544,1164
2552,1205
2558,1700
2574,1672
2577,1244
2587,1142
2590,1666
2593,1697
2603,1283
2610,1233
2618,1672
2635,1197
2647,1211
2650,1243
2664,1375
2668,1375
2676,1215
2687,1410
2693,1298
2697,1626
2700,1629
2704,1436
2711,1404
2719,1440
2744,1487
2747,1494
2750,1606
2750,1613
2751,1608
2753,1600
2759,1491
2810,1483
2334,1397
