node_Degree,node_Accessibility,node_ID
2,0.06538305431604385,1
3,0.09185813367366791,2
2,0.09131716191768646,3
1,0.08632052689790726,4
3,0.0870630145072937,5
2,0.08520049601793289,6
3,0.08422601968050003,7
1,0.0718742161989212,8
2,0.07521721720695496,9
2,0.09095094352960587,10
3,0.09146443009376526,11
3,0.09159813076257706,12
1,0.0996689423918724,13
3,0.10378427058458328,14
1,0.09370381385087967,15
1,0.006508674472570419,16
3,0.09959998726844788,17
3,0.0998760536313057,18
1,0.07674000412225723,19
1,0.06666558980941772,20
1,0.09691102802753448,21
1,0.09782929718494415,22
1,0.07631295174360275,23
3,0.10383354872465134,24
3,0.1013299897313118,25
1,0.07623745501041412,26
2,0.10057421773672104,27
3,0.10286218672990799,28
3,0.11815875768661499,29
3,0.10277331620454788,30
3,0.11963582038879395,31
1,0.11411166936159134,32
3,0.1054735854268074,33
3,0.10578960925340652,34
3,0.1076497882604599,35
3,0.10870790481567383,36
3,0.11767744272947311,37
3,0.1217438206076622,38
1,0.11782344430685043,39
3,0.12297850847244263,40
1,0.10795169323682785,41
1,0.08596144616603851,42
3,0.11126992106437683,43
3,0.11328668147325516,44
3,0.11034642904996872,45
1,0.0968564972281456,46
3,0.1120980978012085,47
3,0.1114809513092041,48
3,0.13178938627243042,49
3,0.11313051730394363,50
3,0.12014434486627579,51
3,0.11944706737995148,52
3,0.1192145049571991,53
3,0.11599543690681458,54
3,0.11489245295524597,55
3,0.11535213887691498,56
3,0.11534251272678375,57
3,0.1188139095902443,58
3,0.12356838583946228,59
3,0.1164858341217041,60
3,0.11932781338691711,61
3,0.11701615154743195,62
3,0.1184747964143753,63
3,0.11820904165506363,64
3,0.12309369444847107,65
1,0.12288420647382736,66
3,0.1345808058977127,67
3,0.13901691138744354,68
3,0.1380590945482254,69
3,0.13946717977523804,70
3,0.13658732175827026,71
3,0.13592921197414398,72
3,0.11943980306386948,73
3,0.12060202658176422,74
3,0.13690489530563354,75
3,0.12110937386751175,76
3,0.12271599471569061,77
3,0.13792520761489868,78
1,0.12874966859817505,79
3,0.13536077737808228,80
3,0.12070942670106888,81
3,0.13127730786800385,82
3,0.14171963930130005,83
3,0.13943949341773987,84
3,0.134379580616951,85
3,0.134372279047966,86
3,0.1212117001414299,87
3,0.13762709498405457,88
3,0.12556201219558716,89
1,0.10535842180252075,90
3,0.13574433326721191,91
3,0.14193888008594513,92
3,0.10730055719614029,93
3,0.126896470785141,94
3,0.12611708045005798,95
1,0.13628597557544708,96
2,0.12820717692375183,97
3,0.12676845490932465,98
3,0.12958596646785736,99
3,0.12420690059661865,100
3,0.12975521385669708,101
3,0.10796243697404861,102
1,0.09882839769124985,103
3,0.108995221555233,104
3,0.14655540883541107,105
3,0.12492155283689499,106
3,0.1370379626750946,107
3,0.12509122490882874,108
1,0.12629374861717224,109
3,0.14985810220241547,110
1,0.12922994792461395,111
3,0.11203772574663162,112
3,0.11232319474220276,113
1,0.13031992316246033,114
3,0.14289382100105286,115
3,0.1416333168745041,116
3,0.13225141167640686,117
3,0.13487344980239868,118
1,0.07191966474056244,119
3,0.15414854884147644,120
3,0.1479114592075348,121
3,0.13253770768642426,122
3,0.13647262752056122,123
3,0.13589245080947876,124
3,0.1327909231185913,125
3,0.13443882763385773,126
